IsWon,Opportunity Type,Lead Source,Amount,Industry
TRUE,New Business / Add-on,Partner Referral,47550,Banking
TRUE,New Business / Add-on,Web,14880,Banking
FALSE,New Business / Add-on,Web,31080,Healthcare
FALSE,New Business / Add-on,Web,18240,Banking
FALSE,New Business,Phone Inquiry,11790,Banking
FALSE,New Business / Add-on,Web,33960,Energy
FALSE,New Business,Web,43140,Energy
TRUE,New Business / Add-on,Partner Referral,54600,Banking
FALSE,Existing Business,Phone Inquiry,11850,Technology
FALSE,Existing Business,Partner Referral,65820,Energy
FALSE,Existing Business,Phone Inquiry,11580,Energy
FALSE,New Business / Add-on,Partner Referral,57930,Banking
FALSE,Existing Business,Phone Inquiry,14460,Technology
FALSE,New Business / Add-on,Partner Referral,66810,Banking
FALSE,Existing Business,Partner Referral,67350,Technology
FALSE,New Business / Add-on,Phone Inquiry,12450,Healthcare
FALSE,New Business,Partner Referral,61140,Energy
FALSE,New Business / Add-on,Partner Referral,48030,Energy
FALSE,Existing Business,Partner Referral,63330,Banking
FALSE,New Business / Add-on,Partner Referral,46980,Energy
FALSE,New Business / Add-on,Partner Referral,41310,Energy
FALSE,New Business,Partner Referral,47970,Technology
FALSE,Existing Business,Web,33270,Energy
TRUE,New Business / Add-on,Partner Referral,47940,Banking
TRUE,New Business / Add-on,Partner Referral,63960,Banking
FALSE,New Business,Partner Referral,61470,Energy
TRUE,New Business / Add-on,Web,27600,Energy
FALSE,New Business / Add-on,Web,15150,Banking
FALSE,Existing Business,Phone Inquiry,11850,Healthcare
FALSE,New Business,Phone Inquiry,12000,Banking
FALSE,New Business / Add-on,Partner Referral,52080,Banking
FALSE,New Business / Add-on,Web,35250,Technology
FALSE,Existing Business,Web,27150,Energy
FALSE,Existing Business,Web,33960,Technology
FALSE,Existing Business,Web,50520,Technology
FALSE,New Business / Add-on,Partner Referral,48000,Technology
TRUE,New Business / Add-on,Partner Referral,42090,Banking
FALSE,Existing Business,Phone Inquiry,14850,Technology
FALSE,New Business,Phone Inquiry,12120,Banking
TRUE,New Business / Add-on,Web,30030,Healthcare
FALSE,New Business,Phone Inquiry,11610,Technology
FALSE,New Business,Web,30360,Healthcare
FALSE,New Business,Web,48690,Healthcare
TRUE,New Business / Add-on,Web,33120,Healthcare
FALSE,New Business / Add-on,Partner Referral,53940,Energy
FALSE,Existing Business,Web,51180,Energy
FALSE,Existing Business,Partner Referral,64800,Energy
FALSE,New Business / Add-on,Partner Referral,56100,Energy
TRUE,New Business / Add-on,Partner Referral,50760,Healthcare
FALSE,Existing Business,Phone Inquiry,12150,Energy
FALSE,New Business / Add-on,Phone Inquiry,15090,Banking
TRUE,New Business / Add-on,Web,32640,Healthcare
FALSE,Existing Business,Web,17760,Healthcare
FALSE,New Business / Add-on,Partner Referral,43890,Banking
TRUE,New Business / Add-on,Partner Referral,57000,Banking
FALSE,Existing Business,Phone Inquiry,11850,Healthcare
FALSE,Existing Business,Web,51960,Technology
FALSE,Existing Business,Partner Referral,65520,Technology
FALSE,New Business,Web,44820,Energy
FALSE,New Business / Add-on,Partner Referral,56640,Banking
FALSE,New Business / Add-on,Web,32880,Banking
FALSE,New Business / Add-on,Partner Referral,45210,Banking
FALSE,New Business,Web,39000,Healthcare
TRUE,New Business / Add-on,Partner Referral,44640,Banking
TRUE,New Business / Add-on,Web,29130,Healthcare
FALSE,New Business,Partner Referral,59400,Banking
FALSE,New Business,Partner Referral,56100,Banking
TRUE,New Business / Add-on,Partner Referral,42240,Banking
TRUE,New Business / Add-on,Web,24120,Banking
FALSE,New Business,Web,50220,Energy
FALSE,New Business / Add-on,Phone Inquiry,11910,Healthcare
FALSE,Existing Business,Web,35730,Banking
FALSE,Existing Business,Partner Referral,69060,Energy
FALSE,New Business,Partner Referral,68610,Energy
TRUE,New Business / Add-on,Web,26760,Energy
FALSE,New Business / Add-on,Web,27000,Banking
TRUE,New Business / Add-on,Web,24690,Banking
TRUE,New Business / Add-on,Partner Referral,64140,Banking
FALSE,New Business / Add-on,Partner Referral,53910,Banking
FALSE,Existing Business,Web,29910,Technology
FALSE,New Business,Partner Referral,67980,Healthcare
FALSE,Existing Business,Web,52860,Healthcare
FALSE,Existing Business,Phone Inquiry,14940,Technology
FALSE,New Business / Add-on,Partner Referral,63000,Healthcare
TRUE,Existing Business,Phone Inquiry,11610,Healthcare
FALSE,Existing Business,Phone Inquiry,14550,Energy
TRUE,New Business / Add-on,Partner Referral,56670,Banking
FALSE,Existing Business,Web,35850,Banking
TRUE,New Business / Add-on,Web,14880,Technology
FALSE,New Business / Add-on,Partner Referral,64230,Banking
TRUE,New Business / Add-on,Partner Referral,42360,Healthcare
TRUE,New Business / Add-on,Partner Referral,51240,Banking
TRUE,New Business / Add-on,Partner Referral,63030,Banking
FALSE,New Business / Add-on,Web,38970,Technology
FALSE,New Business / Add-on,Web,33000,Banking
FALSE,New Business / Add-on,Web,30330,Technology
FALSE,New Business / Add-on,Web,33090,Healthcare
FALSE,New Business / Add-on,Web,30720,Banking
FALSE,New Business / Add-on,Phone Inquiry,15240,Healthcare
FALSE,New Business / Add-on,Web,32670,Healthcare
TRUE,New Business / Add-on,Partner Referral,57090,Healthcare
FALSE,New Business,Partner Referral,45600,Energy
FALSE,New Business / Add-on,Web,26610,Banking
TRUE,New Business / Add-on,Partner Referral,42000,Banking
TRUE,New Business / Add-on,Partner Referral,44700,Banking
TRUE,New Business / Add-on,Web,26910,Energy
TRUE,New Business / Add-on,Partner Referral,45660,Banking
FALSE,New Business,Web,36720,Healthcare
FALSE,New Business,Partner Referral,52080,Healthcare
FALSE,New Business / Add-on,Partner Referral,53610,Banking
FALSE,New Business / Add-on,Phone Inquiry,11820,Healthcare
FALSE,New Business / Add-on,Phone Inquiry,12150,Healthcare
FALSE,Existing Business,Partner Referral,45630,Banking
FALSE,New Business / Add-on,Partner Referral,60480,Banking
FALSE,New Business / Add-on,Web,44730,Banking
TRUE,New Business / Add-on,Partner Referral,44160,Healthcare
FALSE,New Business,Web,38940,Technology
TRUE,New Business / Add-on,Partner Referral,57270,Banking
FALSE,New Business / Add-on,Partner Referral,54240,Banking
FALSE,Existing Business,Web,36180,Energy
FALSE,New Business / Add-on,Partner Referral,49110,Healthcare
FALSE,Existing Business,Phone Inquiry,14880,Healthcare
TRUE,New Business / Add-on,Partner Referral,44940,Banking
FALSE,Existing Business,Web,45330,Healthcare
FALSE,New Business / Add-on,Partner Referral,60690,Banking
FALSE,New Business,Web,47250,Energy
FALSE,New Business / Add-on,Phone Inquiry,11550,Technology
FALSE,New Business / Add-on,Partner Referral,53430,Banking
FALSE,Existing Business,Partner Referral,69030,Energy
FALSE,New Business / Add-on,Partner Referral,41610,Banking
TRUE,New Business / Add-on,Partner Referral,48360,Banking
FALSE,New Business,Partner Referral,66030,Energy
FALSE,Existing Business,Phone Inquiry,11940,Energy
TRUE,New Business,Web,48180,Energy
TRUE,New Business / Add-on,Partner Referral,55890,Banking
FALSE,New Business / Add-on,Partner Referral,54900,Energy
TRUE,New Business,Web,49470,Technology
FALSE,Existing Business,Web,36000,Banking
FALSE,New Business / Add-on,Web,26880,Banking
FALSE,New Business,Web,29160,Healthcare
FALSE,Existing Business,Web,36030,Technology
FALSE,New Business / Add-on,Partner Referral,61620,Energy
FALSE,New Business / Add-on,Partner Referral,49740,Banking
TRUE,New Business / Add-on,Partner Referral,42210,Banking
FALSE,New Business / Add-on,Web,21540,Banking
FALSE,New Business / Add-on,Partner Referral,49590,Energy
FALSE,Existing Business,Phone Inquiry,11910,Healthcare
FALSE,New Business,Phone Inquiry,11520,Healthcare
FALSE,New Business,Partner Referral,56940,Energy
TRUE,New Business / Add-on,Partner Referral,44310,Banking
TRUE,New Business / Add-on,Partner Referral,48360,Healthcare
TRUE,New Business,Web,45480,Technology
TRUE,Existing Business,Partner Referral,62760,Banking
FALSE,Existing Business,Web,52890,Banking
FALSE,New Business / Add-on,Partner Referral,56880,Energy
TRUE,New Business / Add-on,Partner Referral,62040,Banking
FALSE,New Business / Add-on,Web,32790,Technology
FALSE,Existing Business,Web,51450,Energy
FALSE,New Business / Add-on,Web,40470,Technology
FALSE,New Business,Phone Inquiry,12300,Healthcare
FALSE,New Business,Phone Inquiry,12150,Energy
FALSE,New Business / Add-on,Partner Referral,43260,Banking
TRUE,New Business / Add-on,Partner Referral,54240,Banking
FALSE,Existing Business,Phone Inquiry,11670,Technology
FALSE,New Business / Add-on,Web,26970,Banking
FALSE,New Business,Partner Referral,58200,Technology
FALSE,Existing Business,Web,37680,Energy
FALSE,New Business,Web,26760,Healthcare
FALSE,New Business / Add-on,Partner Referral,53490,Banking
TRUE,New Business / Add-on,Partner Referral,50880,Technology
TRUE,New Business / Add-on,Web,25140,Banking
TRUE,New Business / Add-on,Partner Referral,48150,Technology
FALSE,New Business / Add-on,Web,32460,Banking
FALSE,Existing Business,Partner Referral,63150,Banking
TRUE,New Business / Add-on,Web,18450,Energy
FALSE,New Business,Partner Referral,58260,Banking
FALSE,New Business / Add-on,Phone Inquiry,12120,Healthcare
FALSE,Existing Business,Partner Referral,59280,Technology
FALSE,New Business,Web,30180,Energy
FALSE,Existing Business,Phone Inquiry,12330,Healthcare
FALSE,New Business / Add-on,Partner Referral,45540,Technology
TRUE,New Business / Add-on,Partner Referral,57900,Technology
FALSE,New Business / Add-on,Web,35970,Technology
FALSE,New Business / Add-on,Phone Inquiry,11490,Healthcare
FALSE,New Business,Partner Referral,59190,Energy
FALSE,Existing Business,Partner Referral,67560,Energy
FALSE,New Business,Phone Inquiry,12360,Healthcare
TRUE,New Business / Add-on,Partner Referral,51390,Banking
FALSE,Existing Business,Web,21450,Healthcare
FALSE,New Business,Partner Referral,59850,Energy
FALSE,New Business / Add-on,Partner Referral,57660,Energy
FALSE,New Business,Web,51060,Energy
FALSE,New Business / Add-on,Web,15210,Healthcare
TRUE,New Business / Add-on,Partner Referral,62970,Technology
FALSE,Existing Business,Web,53790,Banking
FALSE,New Business,Partner Referral,52050,Banking
FALSE,New Business,Partner Referral,51720,Technology
TRUE,New Business / Add-on,Web,30390,Healthcare
FALSE,Existing Business,Web,38880,Technology
TRUE,New Business / Add-on,Partner Referral,54510,Energy
FALSE,Existing Business,Partner Referral,64860,Technology
TRUE,New Business / Add-on,Phone Inquiry,11970,Healthcare
TRUE,New Business / Add-on,Partner Referral,51270,Banking
FALSE,New Business,Web,32850,Banking
FALSE,New Business / Add-on,Partner Referral,54240,Healthcare
FALSE,New Business / Add-on,Web,26400,Banking
FALSE,New Business / Add-on,Partner Referral,57360,Technology
FALSE,New Business / Add-on,Web,50880,Technology
FALSE,New Business / Add-on,Web,26580,Banking
FALSE,New Business / Add-on,Phone Inquiry,11940,Healthcare
FALSE,New Business / Add-on,Partner Referral,57030,Banking
FALSE,Existing Business,Web,54030,Energy
FALSE,New Business / Add-on,Partner Referral,65940,Technology
TRUE,New Business / Add-on,Partner Referral,44370,Energy
FALSE,New Business / Add-on,Web,32760,Banking
FALSE,New Business,Phone Inquiry,12030,Healthcare
FALSE,New Business,Phone Inquiry,11850,Technology
FALSE,New Business,Phone Inquiry,12030,Energy
TRUE,New Business / Add-on,Partner Referral,59670,Energy
FALSE,New Business,Web,33540,Technology
FALSE,Existing Business,Phone Inquiry,11820,Healthcare
FALSE,Existing Business,Phone Inquiry,11880,Energy
FALSE,New Business,Partner Referral,57240,Technology
FALSE,New Business / Add-on,Partner Referral,56370,Healthcare
TRUE,New Business / Add-on,Phone Inquiry,11940,Healthcare
TRUE,New Business / Add-on,Phone Inquiry,11760,Healthcare
TRUE,New Business / Add-on,Partner Referral,48810,Banking
FALSE,New Business,Phone Inquiry,14670,Technology
FALSE,New Business / Add-on,Partner Referral,44970,Banking
FALSE,New Business / Add-on,Partner Referral,52410,Banking
FALSE,New Business / Add-on,Partner Referral,42390,Technology
FALSE,New Business / Add-on,Partner Referral,43950,Technology
FALSE,Existing Business,Partner Referral,59220,Technology
FALSE,Existing Business,Phone Inquiry,14880,Healthcare
TRUE,New Business / Add-on,Partner Referral,49980,Banking
TRUE,New Business / Add-on,Partner Referral,45180,Technology
FALSE,New Business / Add-on,Phone Inquiry,14580,Healthcare
FALSE,New Business / Add-on,Partner Referral,41910,Technology
FALSE,New Business,Partner Referral,60330,Energy
FALSE,New Business,Phone Inquiry,15420,Healthcare
FALSE,New Business / Add-on,Web,24420,Technology
FALSE,New Business / Add-on,Web,30990,Technology
FALSE,New Business,Partner Referral,63060,Technology
FALSE,New Business / Add-on,Partner Referral,51570,Banking
FALSE,New Business / Add-on,Partner Referral,45360,Technology
FALSE,New Business,Web,34950,Technology
TRUE,New Business / Add-on,Phone Inquiry,11640,Healthcare
FALSE,Existing Business,Web,39120,Energy
FALSE,New Business / Add-on,Web,32070,Banking
TRUE,New Business / Add-on,Web,27240,Technology
FALSE,Existing Business,Phone Inquiry,11850,Banking
FALSE,New Business / Add-on,Web,26670,Energy
FALSE,New Business,Phone Inquiry,12510,Technology
FALSE,Existing Business,Partner Referral,68430,Energy
FALSE,New Business / Add-on,Partner Referral,53910,Technology
FALSE,New Business / Add-on,Web,33030,Healthcare
FALSE,New Business / Add-on,Partner Referral,67770,Banking
FALSE,New Business / Add-on,Partner Referral,60930,Energy
FALSE,New Business,Partner Referral,68790,Healthcare
FALSE,New Business / Add-on,Web,38880,Banking
FALSE,New Business / Add-on,Partner Referral,48240,Banking
TRUE,New Business / Add-on,Partner Referral,63540,Banking
TRUE,New Business / Add-on,Partner Referral,41730,Healthcare
FALSE,Existing Business,Phone Inquiry,15030,Technology
FALSE,New Business / Add-on,Partner Referral,56850,Banking
FALSE,Existing Business,Partner Referral,63300,Technology
FALSE,New Business,Phone Inquiry,14820,Healthcare
FALSE,New Business / Add-on,Web,41850,Healthcare
FALSE,New Business / Add-on,Web,36120,Technology
TRUE,New Business / Add-on,Partner Referral,48630,Banking
FALSE,Existing Business,Phone Inquiry,14640,Healthcare
FALSE,New Business / Add-on,Partner Referral,62490,Banking
FALSE,New Business,Partner Referral,55740,Technology
FALSE,Existing Business,Web,48480,Technology
FALSE,New Business / Add-on,Phone Inquiry,12000,Healthcare
FALSE,New Business / Add-on,Partner Referral,45060,Banking
FALSE,New Business / Add-on,Phone Inquiry,11790,Healthcare
FALSE,New Business / Add-on,Web,41670,Technology
TRUE,New Business / Add-on,Partner Referral,60690,Banking
TRUE,New Business / Add-on,Partner Referral,59880,Banking
FALSE,Existing Business,Partner Referral,69630,Technology
FALSE,Existing Business,Web,24030,Healthcare
FALSE,Existing Business,Partner Referral,61260,Banking
FALSE,New Business,Partner Referral,53820,Banking
FALSE,Existing Business,Phone Inquiry,11940,Healthcare
TRUE,New Business / Add-on,Web,33570,Banking
FALSE,New Business,Phone Inquiry,12390,Healthcare
TRUE,New Business / Add-on,Web,33000,Banking
FALSE,New Business / Add-on,Web,42030,Healthcare
FALSE,New Business / Add-on,Web,32160,Healthcare
TRUE,New Business / Add-on,Partner Referral,44820,Banking
TRUE,New Business / Add-on,Partner Referral,48150,Banking
FALSE,New Business / Add-on,Web,45630,Banking
FALSE,New Business / Add-on,Web,45420,Banking
TRUE,New Business / Add-on,Partner Referral,57660,Banking
TRUE,New Business / Add-on,Partner Referral,41400,Technology
FALSE,Existing Business,Phone Inquiry,11790,Healthcare
TRUE,New Business / Add-on,Web,27180,Technology
FALSE,New Business / Add-on,Partner Referral,48870,Banking
FALSE,New Business,Partner Referral,65100,Technology
TRUE,New Business / Add-on,Partner Referral,50130,Banking
FALSE,Existing Business,Partner Referral,50700,Energy
FALSE,New Business / Add-on,Partner Referral,60090,Banking
FALSE,Existing Business,Web,53160,Technology
TRUE,New Business / Add-on,Partner Referral,44610,Banking
FALSE,Existing Business,Partner Referral,62880,Technology
FALSE,New Business / Add-on,Web,35400,Banking
TRUE,New Business / Add-on,Partner Referral,44640,Banking
FALSE,New Business,Web,38430,Technology
FALSE,New Business / Add-on,Phone Inquiry,12240,Healthcare
TRUE,New Business,Web,26250,Technology
FALSE,New Business / Add-on,Web,36540,Healthcare
FALSE,Existing Business,Phone Inquiry,11880,Technology
TRUE,New Business / Add-on,Web,17070,Banking
TRUE,New Business / Add-on,Partner Referral,59820,Technology
FALSE,New Business,Partner Referral,69750,Energy
FALSE,Existing Business,Partner Referral,48420,Energy
FALSE,New Business,Web,39120,Technology
FALSE,New Business / Add-on,Partner Referral,50430,Technology
FALSE,Existing Business,Web,47670,Energy
TRUE,New Business / Add-on,Partner Referral,56460,Banking
FALSE,New Business / Add-on,Partner Referral,46800,Healthcare
TRUE,New Business / Add-on,Partner Referral,56520,Banking
TRUE,New Business / Add-on,Partner Referral,48300,Banking
FALSE,New Business / Add-on,Phone Inquiry,11910,Healthcare
FALSE,New Business,Partner Referral,56580,Energy
FALSE,New Business / Add-on,Partner Referral,63870,Banking
TRUE,New Business / Add-on,Partner Referral,44610,Banking
FALSE,New Business / Add-on,Partner Referral,63270,Technology
FALSE,New Business / Add-on,Partner Referral,57000,Energy
TRUE,New Business / Add-on,Partner Referral,62880,Technology
FALSE,New Business,Web,32580,Healthcare
FALSE,New Business / Add-on,Partner Referral,42030,Banking
TRUE,New Business / Add-on,Partner Referral,45120,Technology
FALSE,New Business / Add-on,Phone Inquiry,12030,Energy
FALSE,New Business,Partner Referral,63240,Banking
FALSE,New Business / Add-on,Web,30960,Banking
FALSE,New Business / Add-on,Partner Referral,51300,Technology
TRUE,New Business / Add-on,Partner Referral,45360,Technology
TRUE,New Business / Add-on,Partner Referral,60030,Banking
FALSE,New Business,Partner Referral,54750,Banking
FALSE,Existing Business,Partner Referral,69450,Energy
FALSE,New Business,Partner Referral,56820,Energy
FALSE,Existing Business,Phone Inquiry,11760,Healthcare
FALSE,Existing Business,Partner Referral,59940,Technology
FALSE,Existing Business,Phone Inquiry,12660,Energy
FALSE,Existing Business,Phone Inquiry,12030,Energy
FALSE,New Business / Add-on,Partner Referral,47970,Banking
FALSE,New Business,Partner Referral,64290,Energy
TRUE,New Business / Add-on,Partner Referral,51000,Banking
FALSE,New Business / Add-on,Partner Referral,53730,Banking
FALSE,New Business / Add-on,Partner Referral,48930,Technology
FALSE,New Business,Web,35070,Healthcare
FALSE,New Business,Partner Referral,57390,Energy
FALSE,Existing Business,Web,48360,Technology
FALSE,Existing Business,Partner Referral,67860,Technology
FALSE,New Business / Add-on,Web,35370,Healthcare
FALSE,New Business / Add-on,Phone Inquiry,11730,Healthcare
